0:00:00,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREZ,CAB,AMB,FREZDOOR,CABDOOR,DEFREC,TC1,TC2,HAUXINPUT,ROOMTEMP,HUMIDITY
0:00:00,State,Pwr Fac,Voltage V,Amps A (Y * 10.0),Wattage W (Y * 0.1),Kwatt Hours,Freezer,Fresh Food,Ambient,Frez Door,Cab Door,Def/Rec Time,FC,FF,Current Leakage (mA),RoomTemp,Humidity
0:00:00,1,0.00,115.2,0.00,0.00,0.00000,78.16,77.87,-999.00,-999.00,-999.00,0,78.16,77.87,-1.00000,78.26,81.5,78.26
0:00:00,1,0.00,115.2,0,0,0,78.16,77.87,-999.00,-999.00,-999.00,0,78.16,77.87,-1.#IND0,78.26,81.5,78.26
0:00:00,1,0.00,115.2,0,0,0,78.16,77.87,-999.00,-999.00,-999.00,0,78.16,77.87,-1.#IND0,78.26,81.5,78.26
0:00:00,1,0.00,115.2,0,0,0,78.16,77.87,-999.00,-999.00,-999.00,0,78.16,77.87,-1.#IND0,78.26,81.5,78.26
0:00:50,1,0.00,115.2,0,0,0,78.12,77.90,-999.00,-999.00,-999.00,0,78.12,77.90,-1.#IND0,78.85,80.3,78.85
0:01:40,1,0.00,115.1,0,0,0,78.10,77.87,-999.00,-999.00,-999.00,0,78.10,77.87,-1.#IND0,79.45,79.7,79.45
0:02:30,1,0.00,115.1,0,0,0,78.02,77.79,-999.00,-999.00,-999.00,0,78.02,77.79,-1.#IND0,80.04,76.9,80.04
0:03:20,1,0.00,115.1,0,0,0,78.02,77.78,-999.00,-999.00,-999.00,0,78.02,77.78,-1.#IND0,80.64,76.0,80.64
0:04:11,1,0.00,115.1,0,0,0,78.04,77.77,-999.00,-999.00,-999.00,0,78.04,77.77,-1.#IND0,81.23,76.1,81.23
0:05:01,1,0.00,115.1,0,0,0,78.02,77.74,-999.00,-999.00,-999.00,0,78.02,77.74,-1.#IND0,81.83,75.8,81.83
0:05:52,1,0.00,115.0,0,0,0,78.08,77.76,-999.00,-999.00,-999.00,0,78.08,77.76,-1.#IND0,82.42,74.9,82.42
0:06:42,1,0.00,115.0,0,0,0,78.18,77.78,-999.00,-999.00,-999.00,0,78.18,77.78,-1.#IND0,82.82,74.2,82.82
0:07:32,1,0.00,115.0,0,0,0,78.22,77.79,-999.00,-999.00,-999.00,0,78.22,77.79,-1.#IND0,83.22,71.9,83.22
0:08:01,1,0.00,115.0,0,0,0,78.29,77.82,-999.00,-999.00,-999.00,0,78.29,77.82,-1.#IND0,83.41,71.1,83.41
0:08:01,1,0.00,115.0,0,0,0,78.29,77.82,-999.00,-999.00,-999.00,0,78.29,77.82,-1.#IND0,83.41,71.1,83.41
0:08:01,1,0.00,115.0,0,0,0,78.29,77.82,-999.00,-999.00,-999.00,0,78.29,77.82,-1.#IND0,83.41,71.1,83.41
0:08:51,1,0.00,115.0,0,0,0,78.41,77.87,-999.00,-999.00,-999.00,0,78.41,77.87,-1.#IND0,83.81,71.4,83.81
0:09:41,1,0.00,114.9,0,0,0,78.50,77.92,-999.00,-999.00,-999.00,0,78.50,77.92,-1.#IND0,84.21,71.4,84.21
0:10:32,1,0.00,114.9,0,0,0,78.61,77.95,-999.00,-999.00,-999.00,0,78.61,77.95,-1.#IND0,84.60,71.3,84.60
0:11:22,1,0.00,114.9,0,0,0,78.72,78.00,-999.00,-999.00,-999.00,0,78.72,78.00,-1.#IND0,84.80,71.1,84.80
0:12:12,1,0.00,114.9,0,0,0,78.82,78.06,-999.00,-999.00,-999.00,0,78.82,78.06,-1.#IND0,85.00,70.0,85.00
0:13:02,1,0.00,114.9,0,0,0,78.94,78.07,-999.00,-999.00,-999.00,0,78.94,78.07,-1.#IND0,85.40,68.5,85.40
0:13:52,1,0.00,114.9,0,0,0,79.10,78.14,-999.00,-999.00,-999.00,0,79.10,78.14,-1.#IND0,85.60,69.5,85.60
0:14:43,1,0.00,114.9,0,0,0,79.20,78.21,-999.00,-999.00,-999.00,0,79.20,78.21,-1.#IND0,85.80,70.3,85.80
0:15:33,1,0.00,115.0,0,0,0,79.30,78.29,-999.00,-999.00,-999.00,0,79.30,78.29,-1.#IND0,85.80,70.4,85.80
0:16:24,1,0.00,115.0,0,0,0,79.42,78.36,-999.00,-999.00,-999.00,0,79.42,78.36,-1.#IND0,85.99,70.3,85.99
0:17:14,1,0.00,114.9,0,0,0,79.54,78.40,-999.00,-999.00,-999.00,0,79.54,78.40,-1.#IND0,86.19,69.1,86.19
0:18:04,1,0.00,114.9,0,0,0,79.62,78.46,-999.00,-999.00,-999.00,0,79.62,78.46,-1.#IND0,86.39,68.0,86.39
0:18:54,1,0.00,114.9,0,0,0,79.75,78.54,-999.00,-999.00,-999.00,0,79.75,78.54,-1.#IND0,86.39,68.9,86.39
0:19:44,1,0.00,115.0,0,0,0,79.86,78.62,-999.00,-999.00,-999.00,0,79.86,78.62,-1.#IND0,86.59,69.7,86.59
0:20:34,1,0.00,115.0,0,0,0,79.97,78.67,-999.00,-999.00,-999.00,0,79.97,78.67,-1.#IND0,86.59,69.8,86.59
0:21:24,1,0.00,114.9,0,0,0,80.11,78.78,-999.00,-999.00,-999.00,0,80.11,78.78,-1.#IND0,86.79,69.8,86.79
0:22:14,1,0.00,114.9,0,0,0,80.20,78.83,-999.00,-999.00,-999.00,0,80.20,78.83,-1.#IND0,86.79,69.0,86.79
0:23:05,1,0.00,115.0,0,0,0,80.34,78.89,-999.00,-999.00,-999.00,0,80.34,78.89,-1.#IND0,86.79,68.3,86.79
0:23:55,1,0.00,114.9,0,0,0,80.47,78.98,-999.00,-999.00,-999.00,0,80.47,78.98,-1.#IND0,86.99,69.2,86.99
0:24:45,1,0.00,114.9,0,0,0,80.63,79.11,-999.00,-999.00,-999.00,0,80.63,79.11,-1.#IND0,86.99,69.5,86.99
0:25:35,1,0.00,114.9,0,0,0,80.72,79.18,-999.00,-999.00,-999.00,0,80.72,79.18,-1.#IND0,86.99,68.2,86.99
0:26:25,1,0.00,114.9,0,0,0,80.82,79.25,-999.00,-999.00,-999.00,0,80.82,79.25,-1.#IND0,86.99,68.1,86.99
0:27:16,1,0.00,114.9,0,0,0,80.88,79.31,-999.00,-999.00,-999.00,0,80.88,79.31,-1.#IND0,86.99,67.5,86.99
0:28:06,1,0.00,114.9,0,0,0,81.01,79.39,-999.00,-999.00,-999.00,0,81.01,79.39,-1.#IND0,86.99,66.5,86.99
0:28:56,1,0.00,114.9,0,0,0,81.10,79.46,-999.00,-999.00,-999.00,0,81.10,79.46,-1.#IND0,87.18,67.0,87.18
0:29:46,1,0.00,114.9,0,0,0,81.20,79.52,-999.00,-999.00,-999.00,0,81.20,79.52,-1.#IND0,87.18,67.3,87.18
0:30:36,1,0.00,114.9,0,0,0,81.35,79.62,-999.00,-999.00,-999.00,0,81.35,79.62,-1.#IND0,87.18,67.3,87.18
0:31:27,1,0.00,114.9,0,0,0,81.48,79.71,-999.00,-999.00,-999.00,0,81.48,79.71,-1.#IND0,87.38,67.0,87.38
0:32:04,1,0.00,114.9,0,0,0,81.54,79.76,-999.00,-999.00,-999.00,0,81.54,79.76,-1.#IND0,87.38,66.4,87.38
0:32:04,1,0.00,114.9,0,0,0,81.54,79.76,-999.00,-999.00,-999.00,0,81.54,79.76,-1.#IND0,87.38,66.4,87.38
0:32:04,1,0.00,114.9,0,0,0,81.54,79.76,-999.00,-999.00,-999.00,0,81.54,79.76,-1.#IND0,87.38,66.4,87.38
0:32:54,1,0.00,114.9,0,0,0,81.65,79.83,-999.00,-999.00,-999.00,0,81.65,79.83,-1.#IND0,87.38,64.9,87.38
0:33:44,1,0.00,115.0,0,0,0,81.71,79.88,-999.00,-999.00,-999.00,0,81.71,79.88,-1.#IND0,87.38,65.3,87.38
0:34:34,1,0.00,115.0,0,0,0,81.80,79.96,-999.00,-999.00,-999.00,0,81.80,79.96,-1.#IND0,87.58,66.1,87.58
0:35:24,1,0.00,114.9,0,0,0,81.90,80.04,-999.00,-999.00,-999.00,0,81.90,80.04,-1.#IND0,87.58,66.4,87.58
0:36:15,1,0.00,115.0,0,0,0,82.00,80.08,-999.00,-999.00,-999.00,0,82.00,80.08,-1.#IND0,87.58,66.5,87.58
0:37:05,1,0.00,114.9,0,0,0,82.17,80.26,-999.00,-999.00,-999.00,0,82.17,80.26,-1.#IND0,87.78,65.6,87.78
0:37:55,1,0.00,114.9,0,0,0,82.20,80.29,-999.00,-999.00,-999.00,0,82.20,80.29,-1.#IND0,87.78,64.3,87.78
0:38:46,1,0.00,114.9,0,0,0,82.33,80.34,-999.00,-999.00,-999.00,0,82.33,80.34,-1.#IND0,87.78,64.4,87.78
0:39:36,1,0.00,115.0,0,0,0,82.41,80.41,-999.00,-999.00,-999.00,0,82.41,80.41,-1.#IND0,87.78,65.6,87.78
0:40:05,1,0.00,115.0,0,0,0,82.47,80.46,-999.00,-999.00,-999.00,0,82.47,80.46,-1.#IND0,87.78,66.1,87.78
0:40:05,1,0.00,115.0,0,0,0,82.47,80.46,-999.00,-999.00,-999.00,0,82.47,80.46,-1.#IND0,87.78,66.1,87.78
0:40:05,1,0.00,115.0,0,0,0,82.47,80.46,-999.00,-999.00,-999.00,0,82.47,80.46,-1.#IND0,87.78,66.1,87.78
0:40:56,1,0.00,115.0,0,0,0,82.56,80.54,-999.00,-999.00,-999.00,0,82.56,80.54,-1.#IND0,87.98,66.4,87.98
0:41:46,1,0.00,115.0,0,0,0,82.64,80.64,-999.00,-999.00,-999.00,0,82.64,80.64,-1.#IND0,87.98,66.0,87.98
0:42:36,1,0.00,115.0,0,0,0,82.74,80.75,-999.00,-999.00,-999.00,0,82.74,80.75,-1.#IND0,87.98,64.9,87.98
0:43:26,1,0.00,115.0,0,0,0,82.79,80.78,-999.00,-999.00,-999.00,0,82.79,80.78,-1.#IND0,88.18,64.7,88.18
0:44:16,1,0.00,115.0,0,0,0,82.91,80.87,-999.00,-999.00,-999.00,0,82.91,80.87,-1.#IND0,88.18,65.9,88.18
0:45:07,1,0.00,114.9,0,0,0,82.98,80.93,-999.00,-999.00,-999.00,0,82.98,80.93,-1.#IND0,88.18,66.6,88.18
0:45:57,1,0.00,115.0,0,0,0,83.07,81.01,-999.00,-999.00,-999.00,0,83.07,81.01,-1.#IND0,88.37,66.7,88.37
0:46:47,1,0.00,115.0,0,0,0,83.19,81.09,-999.00,-999.00,-999.00,0,83.19,81.09,-1.#IND0,88.37,66.8,88.37
0:47:38,1,0.00,115.1,0,0,0,83.29,81.22,-999.00,-999.00,-999.00,0,83.29,81.22,-1.#IND0,88.37,65.8,88.37
0:48:28,1,0.00,115.1,0,0,0,83.41,81.31,-999.00,-999.00,-999.00,0,83.41,81.31,-1.#IND0,88.57,65.9,88.57
0:49:18,1,0.00,115.1,0,0,0,83.49,81.38,-999.00,-999.00,-999.00,0,83.49,81.38,-1.#IND0,88.57,66.1,88.57
0:50:08,1,0.00,115.1,0,0,0,83.54,81.43,-999.00,-999.00,-999.00,0,83.54,81.43,-1.#IND0,88.57,66.3,88.57
0:50:58,1,0.00,115.2,0,0,0,83.61,81.51,-999.00,-999.00,-999.00,0,83.61,81.51,-1.#IND0,88.57,66.1,88.57
0:51:49,1,0.00,115.1,0,0,0,83.70,81.63,-999.00,-999.00,-999.00,0,83.70,81.63,-1.#IND0,88.77,66.1,88.77
0:52:39,1,0.00,115.1,0,0,0,83.77,81.67,-999.00,-999.00,-999.00,0,83.77,81.67,-1.#IND0,88.77,65.6,88.77
0:53:29,1,0.00,115.1,0,0,0,83.87,81.79,-999.00,-999.00,-999.00,0,83.87,81.79,-1.#IND0,88.77,65.7,88.77
0:54:20,1,0.00,115.1,0,0,0,83.93,81.86,-999.00,-999.00,-999.00,0,83.93,81.86,-1.#IND0,88.77,66.5,88.77
0:55:10,1,0.00,115.1,0,0,0,84.01,81.92,-999.00,-999.00,-999.00,0,84.01,81.92,-1.#IND0,88.77,66.1,88.77
0:56:00,1,0.00,115.1,0,0,0,84.10,82.01,-999.00,-999.00,-999.00,0,84.10,82.01,-1.#IND0,88.77,66.2,88.77
0:56:50,1,0.00,115.2,0,0,0,84.15,82.07,-999.00,-999.00,-999.00,0,84.15,82.07,-1.#IND0,88.97,66.7,88.97
0:57:40,1,0.00,115.1,0,0,0,84.23,82.11,-999.00,-999.00,-999.00,0,84.23,82.11,-1.#IND0,88.97,66.3,88.97
0:58:30,1,0.00,115.1,0,0,0,84.36,82.19,-999.00,-999.00,-999.00,0,84.36,82.19,-1.#IND0,88.97,66.6,88.97
0:59:21,1,0.00,115.1,0,0,0,84.41,82.30,-999.00,-999.00,-999.00,0,84.41,82.30,-1.#IND0,88.97,66.6,88.97
1:00:11,1,0.00,115.1,0,0,0,84.47,82.39,-999.00,-999.00,-999.00,0,84.47,82.39,-1.#IND0,88.97,66.8,88.97
1:01:01,1,0.00,115.1,0,0,0,84.58,82.51,-999.00,-999.00,-999.00,0,84.58,82.51,-1.#IND0,89.17,66.9,89.17
1:01:52,1,0.00,115.1,0,0,0,84.65,82.60,-999.00,-999.00,-999.00,0,84.65,82.60,-1.#IND0,89.17,67.1,89.17
1:02:42,1,0.00,115.1,0,0,0,84.73,82.65,-999.00,-999.00,-999.00,0,84.73,82.65,-1.#IND0,89.17,67.2,89.17
1:03:32,1,0.00,115.1,0,0,0,84.81,82.74,-999.00,-999.00,-999.00,0,84.81,82.74,-1.#IND0,89.17,67.0,89.17
1:04:08,1,0.00,115.1,0,0,0,84.86,82.79,-999.00,-999.00,-999.00,0,84.86,82.79,-1.#IND0,89.17,66.9,89.17
1:04:08,1,0.00,115.1,0,0,0,84.86,82.79,-999.00,-999.00,-999.00,0,84.86,82.79,-1.#IND0,89.17,66.9,89.17
1:04:08,1,0.00,115.1,0,0,0,84.86,82.79,-999.00,-999.00,-999.00,0,84.86,82.79,-1.#IND0,89.17,66.9,89.17
1:04:58,1,0.00,115.1,0,0,0,84.96,82.89,-999.00,-999.00,-999.00,0,84.96,82.89,-1.#IND0,89.17,67.0,89.17
1:05:48,1,0.00,115.1,0,0,0,85.01,82.96,-999.00,-999.00,-999.00,0,85.01,82.96,-1.#IND0,89.17,67.0,89.17
1:06:38,1,0.00,115.1,0,0,0,85.06,83.04,-999.00,-999.00,-999.00,0,85.06,83.04,-1.#IND0,89.17,67.3,89.17
1:07:28,1,0.00,115.1,0,0,0,85.18,83.16,-999.00,-999.00,-999.00,0,85.18,83.16,-1.#IND0,89.37,67.3,89.37
1:08:18,1,0.00,115.1,0,0,0,85.25,83.26,-999.00,-999.00,-999.00,0,85.25,83.26,-1.#IND0,89.37,67.2,89.37
1:09:08,1,0.00,115.1,0,0,0,85.31,83.32,-999.00,-999.00,-999.00,0,85.31,83.32,-1.#IND0,89.37,67.5,89.37
1:09:58,1,0.00,115.1,0,0,0,85.36,83.40,-999.00,-999.00,-999.00,0,85.36,83.40,-1.#IND0,89.37,67.3,89.37
1:10:48,1,0.00,115.1,0,0,0,85.47,83.48,-999.00,-999.00,-999.00,0,85.47,83.48,-1.#IND0,89.56,67.6,89.56
1:11:39,1,0.00,115.1,0,0,0,85.52,83.55,-999.00,-999.00,-999.00,0,85.52,83.55,-1.#IND0,89.56,68.2,89.56
1:12:09,1,0.00,115.1,0,0,0,85.55,83.56,-999.00,-999.00,-999.00,0,85.55,83.56,-1.#IND0,89.56,68.1,89.56
1:12:09,1,0.00,115.1,0,0,0,85.55,83.56,-999.00,-999.00,-999.00,0,85.55,83.56,-1.#IND0,89.56,68.1,89.56
1:12:09,1,0.00,115.1,0,0,0,85.55,83.56,-999.00,-999.00,-999.00,0,85.55,83.56,-1.#IND0,89.56,68.1,89.56
1:12:59,1,0.00,115.1,0,0,0,85.62,83.66,-999.00,-999.00,-999.00,0,85.62,83.66,-1.#IND0,89.56,67.8,89.56
1:13:49,1,0.00,115.1,0,0,0,85.67,83.75,-999.00,-999.00,-999.00,0,85.67,83.75,-1.#IND0,89.56,67.8,89.56
1:14:40,1,0.00,115.1,0,0,0,85.77,83.84,-999.00,-999.00,-999.00,0,85.77,83.84,-1.#IND0,89.56,67.2,89.56
1:15:30,1,0.00,115.1,0,0,0,85.80,83.92,-999.00,-999.00,-999.00,0,85.80,83.92,-1.#IND0,89.56,67.3,89.56
1:16:20,1,0.00,115.1,0,0,0,85.91,83.99,-999.00,-999.00,-999.00,0,85.91,83.99,-1.#IND0,89.56,67.4,89.56
1:17:10,1,0.00,115.2,0,0,0,85.98,84.09,-999.00,-999.00,-999.00,0,85.98,84.09,-1.#IND0,89.56,67.4,89.56
1:18:00,1,0.00,115.2,0,0,0,86.04,84.19,-999.00,-999.00,-999.00,0,86.04,84.19,-1.#IND0,89.56,67.3,89.56
1:18:50,1,0.00,115.2,0,0,0,86.07,84.22,-999.00,-999.00,-999.00,0,86.07,84.22,-1.#IND0,89.76,67.8,89.76
1:19:40,1,0.00,115.2,0,0,0,86.15,84.34,-999.00,-999.00,-999.00,0,86.15,84.34,-1.#IND0,89.76,67.9,89.76
1:20:31,1,0.00,115.1,0,0,0,86.21,84.41,-999.00,-999.00,-999.00,0,86.21,84.41,-1.#IND0,89.76,68.0,89.76
1:21:21,1,0.00,115.1,0,0,0,86.29,84.47,-999.00,-999.00,-999.00,0,86.29,84.47,-1.#IND0,89.76,68.1,89.76
1:22:11,1,0.00,115.2,0,0,0,86.32,84.57,-999.00,-999.00,-999.00,0,86.32,84.57,-1.#IND0,89.76,68.3,89.76
1:23:02,1,0.00,115.1,0,0,0,86.43,84.63,-999.00,-999.00,-999.00,0,86.43,84.63,-1.#IND0,89.76,68.2,89.76
1:23:52,1,0.00,115.2,0,0,0,86.46,84.69,-999.00,-999.00,-999.00,0,86.46,84.69,-1.#IND0,89.76,67.3,89.76
1:24:42,1,0.00,115.1,0,0,0,86.51,84.80,-999.00,-999.00,-999.00,0,86.51,84.80,-1.#IND0,89.76,67.1,89.76
1:25:32,1,0.00,115.1,0,0,0,86.55,84.87,-999.00,-999.00,-999.00,0,86.55,84.87,-1.#IND0,89.76,66.9,89.76
1:26:22,1,0.00,115.2,0,0,0,86.65,84.96,-999.00,-999.00,-999.00,0,86.65,84.96,-1.#IND0,89.76,66.4,89.76
1:27:12,1,0.00,115.2,0,0,0,86.69,85.04,-999.00,-999.00,-999.00,0,86.69,85.04,-1.#IND0,89.76,66.9,89.76
1:28:03,1,0.00,115.1,0,0,0,86.76,85.13,-999.00,-999.00,-999.00,0,86.76,85.13,-1.#IND0,89.76,67.1,89.76
1:28:53,1,0.00,115.2,0,0,0,86.77,85.16,-999.00,-999.00,-999.00,0,86.77,85.16,-1.#IND0,89.76,66.3,89.76
1:29:43,1,0.00,115.2,0,0,0,86.82,85.27,-999.00,-999.00,-999.00,0,86.82,85.27,-1.#IND0,89.76,66.1,89.76
1:30:34,1,0.00,115.2,0,0,0,86.88,85.32,-999.00,-999.00,-999.00,0,86.88,85.32,-1.#IND0,89.76,65.7,89.76
1:31:24,1,0.00,115.1,0,0,0,86.94,85.39,-999.00,-999.00,-999.00,0,86.94,85.39,-1.#IND0,89.76,65.6,89.76
1:32:14,1,0.00,115.2,0,0,0,86.96,85.45,-999.00,-999.00,-999.00,0,86.96,85.45,-1.#IND0,89.76,65.3,89.76
1:33:04,1,0.00,115.2,0,0,0,86.99,85.50,-999.00,-999.00,-999.00,0,86.99,85.50,-1.#IND0,89.76,65.3,89.76
1:33:54,1,0.00,115.1,0,0,0,87.07,85.57,-999.00,-999.00,-999.00,0,87.07,85.57,-1.#IND0,89.76,64.7,89.76
1:34:45,1,0.00,115.1,0,0,0,87.10,85.64,-999.00,-999.00,-999.00,0,87.10,85.64,-1.#IND0,89.76,64.3,89.76
1:35:35,1,0.00,115.1,0,0,0,87.16,85.71,-999.00,-999.00,-999.00,0,87.16,85.71,-1.#IND0,89.76,64.2,89.76
1:36:12,1,0.00,115.1,0,0,0,87.15,85.74,-999.00,-999.00,-999.00,0,87.15,85.74,-1.#IND0,89.76,64.2,89.76
1:36:12,1,0.00,115.1,0,0,0,87.15,85.74,-999.00,-999.00,-999.00,0,87.15,85.74,-1.#IND0,89.76,64.2,89.76
1:36:12,1,0.00,115.1,0,0,0,87.15,85.74,-999.00,-999.00,-999.00,0,87.15,85.74,-1.#IND0,89.76,64.2,89.76
1:37:02,1,0.00,115.1,0,0,0,87.18,85.77,-999.00,-999.00,-999.00,0,87.18,85.77,-1.#IND0,89.76,63.7,89.76
1:37:52,1,0.00,115.1,0,0,0,87.24,85.84,-999.00,-999.00,-999.00,0,87.24,85.84,-1.#IND0,89.76,63.8,89.76
1:38:43,1,0.00,115.1,0,0,0,87.27,85.90,-999.00,-999.00,-999.00,0,87.27,85.90,-1.#IND0,89.76,64.4,89.76
1:39:33,1,0.00,115.1,0,0,0,87.34,85.97,-999.00,-999.00,-999.00,0,87.34,85.97,-1.#IND0,89.76,64.2,89.76
1:40:23,1,0.00,115.1,0,0,0,87.36,86.01,-999.00,-999.00,-999.00,0,87.36,86.01,-1.#IND0,89.76,63.9,89.76
1:41:14,1,0.00,115.0,0,0,0,87.42,86.06,-999.00,-999.00,-999.00,0,87.42,86.06,-1.#IND0,89.76,63.5,89.76
1:42:04,1,0.00,115.0,0,0,0,87.46,86.15,-999.00,-999.00,-999.00,0,87.46,86.15,-1.#IND0,89.76,63.4,89.76
1:42:54,1,0.00,115.1,0,0,0,87.43,86.16,-999.00,-999.00,-999.00,0,87.43,86.16,-1.#IND0,89.76,62.9,89.76
1:43:44,1,0.00,115.1,0,0,0,87.49,86.20,-999.00,-999.00,-999.00,0,87.49,86.20,-1.#IND0,89.76,63.1,89.76
1:44:13,1,0.00,115.2,0,0,0,87.50,86.23,-999.00,-999.00,-999.00,0,87.50,86.23,-1.#IND0,89.76,63.1,89.76
1:44:13,1,0.00,115.2,0,0,0,87.50,86.23,-999.00,-999.00,-999.00,0,87.50,86.23,-1.#IND0,89.76,63.1,89.76
1:44:13,1,0.00,115.2,0,0,0,87.50,86.23,-999.00,-999.00,-999.00,0,87.50,86.23,-1.#IND0,89.76,63.1,89.76
1:45:03,1,0.00,115.2,0,0,0,87.56,86.28,-999.00,-999.00,-999.00,0,87.56,86.28,-1.#IND0,89.76,62.8,89.76
1:45:53,1,0.00,115.1,0,0,0,87.58,86.30,-999.00,-999.00,-999.00,0,87.58,86.30,-1.#IND0,89.76,62.8,89.76
1:46:43,1,0.00,115.1,0,0,0,87.63,86.38,-999.00,-999.00,-999.00,0,87.63,86.38,-1.#IND0,89.76,63.2,89.76
1:47:34,1,0.00,115.1,0,0,0,87.64,86.42,-999.00,-999.00,-999.00,0,87.64,86.42,-1.#IND0,89.76,63.3,89.76
1:48:24,1,0.00,115.1,0,0,0,87.69,86.45,-999.00,-999.00,-999.00,0,87.69,86.45,-1.#IND0,89.76,63.1,89.76
1:49:15,1,0.00,115.1,0,0,0,87.72,86.52,-999.00,-999.00,-999.00,0,87.72,86.52,-1.#IND0,89.76,62.9,89.76
1:50:05,1,0.00,115.1,0,0,0,87.75,86.58,-999.00,-999.00,-999.00,0,87.75,86.58,-1.#IND0,89.76,62.8,89.76
1:50:55,1,0.00,115.1,0,0,0,87.83,86.59,-999.00,-999.00,-999.00,0,87.83,86.59,-1.#IND0,89.76,62.4,89.76
1:51:45,1,0.00,115.1,0,0,0,87.86,86.66,-999.00,-999.00,-999.00,0,87.86,86.66,-1.#IND0,89.96,62.2,89.96
1:52:35,1,0.00,115.2,0,0,0,87.89,86.72,-999.00,-999.00,-999.00,0,87.89,86.72,-1.#IND0,89.96,62.0,89.96
1:53:26,1,0.00,115.1,0,0,0,87.91,86.75,-999.00,-999.00,-999.00,0,87.91,86.75,-1.#IND0,89.96,61.7,89.96
1:54:16,1,0.00,115.1,0,0,0,87.94,86.81,-999.00,-999.00,-999.00,0,87.94,86.81,-1.#IND0,89.96,61.7,89.96
1:55:06,1,0.00,115.0,0,0,0,88.00,86.89,-999.00,-999.00,-999.00,0,88.00,86.89,-1.#IND0,89.96,61.5,89.96
1:55:56,1,0.00,115.1,0,0,0,88.02,86.89,-999.00,-999.00,-999.00,0,88.02,86.89,-1.#IND0,89.96,61.5,89.96
1:56:46,1,0.00,115.2,0,0,0,88.05,86.94,-999.00,-999.00,-999.00,0,88.05,86.94,-1.#IND0,89.96,61.4,89.96
1:57:37,1,0.00,115.1,0,0,0,88.10,86.99,-999.00,-999.00,-999.00,0,88.10,86.99,-1.#IND0,89.96,61.4,89.96
1:58:27,1,0.00,115.1,0,0,0,88.12,87.03,-999.00,-999.00,-999.00,0,88.12,87.03,-1.#IND0,89.96,61.2,89.96
1:59:18,1,0.00,115.1,0,0,0,88.14,87.05,-999.00,-999.00,-999.00,0,88.14,87.05,-1.#IND0,89.96,61.2,89.96
2:00:08,1,0.00,115.1,0,0,0,88.15,87.08,-999.00,-999.00,-999.00,0,88.15,87.08,-1.#IND0,89.96,61.2,89.96
2:00:58,1,0.00,115.1,0,0,0,88.17,87.11,-999.00,-999.00,-999.00,0,88.17,87.11,-1.#IND0,89.96,61.0,89.96
2:01:48,1,0.00,115.1,0,0,0,88.20,87.12,-999.00,-999.00,-999.00,0,88.20,87.12,-1.#IND0,89.96,60.8,89.96
2:02:38,1,0.00,115.1,0,0,0,88.26,87.18,-999.00,-999.00,-999.00,0,88.26,87.18,-1.#IND0,90.16,60.8,90.16
2:03:28,1,0.00,115.1,0,0,0,88.27,87.22,-999.00,-999.00,-999.00,0,88.27,87.22,-1.#IND0,90.16,60.8,90.16
2:04:19,1,0.00,115.2,0,0,0,88.30,87.28,-999.00,-999.00,-999.00,0,88.30,87.28,-1.#IND0,90.16,60.8,90.16
2:05:09,1,0.00,115.2,0,0,0,88.35,87.33,-999.00,-999.00,-999.00,0,88.35,87.33,-1.#IND0,90.16,60.8,90.16
2:05:59,1,0.00,115.1,0,0,0,88.35,87.33,-999.00,-999.00,-999.00,0,88.35,87.33,-1.#IND0,90.16,60.9,90.16
2:06:49,1,0.00,115.1,0,0,0,88.38,87.38,-999.00,-999.00,-999.00,0,88.38,87.38,-1.#IND0,90.16,60.9,90.16
2:07:40,1,0.00,115.1,0,0,0,88.44,87.41,-999.00,-999.00,-999.00,0,88.44,87.41,-1.#IND0,90.16,60.8,90.16
2:08:16,1,0.00,115.1,0,0,0,88.46,87.46,-999.00,-999.00,-999.00,0,88.46,87.46,-1.#IND0,90.16,60.8,90.16
2:08:16,1,0.00,115.1,0,0,0,88.46,87.46,-999.00,-999.00,-999.00,0,88.46,87.46,-1.#IND0,90.16,60.8,90.16
2:08:16,1,0.00,115.1,0,0,0,88.46,87.46,-999.00,-999.00,-999.00,0,88.46,87.46,-1.#IND0,90.16,60.8,90.16
2:09:06,1,0.00,115.1,0,0,0,88.47,87.44,-999.00,-999.00,-999.00,0,88.47,87.44,-1.#IND0,90.16,60.6,90.16
2:09:56,1,0.00,115.1,0,0,0,88.52,87.47,-999.00,-999.00,-999.00,0,88.52,87.47,-1.#IND0,90.16,60.6,90.16
2:10:47,1,0.00,115.1,0,0,0,88.54,87.49,-999.00,-999.00,-999.00,0,88.54,87.49,-1.#IND0,90.16,60.7,90.16
2:11:37,1,0.00,115.1,0,0,0,88.57,87.55,-999.00,-999.00,-999.00,0,88.57,87.55,-1.#IND0,90.16,60.7,90.16
2:12:27,1,0.00,115.1,0,0,0,88.60,87.60,-999.00,-999.00,-999.00,0,88.60,87.60,-1.#IND0,90.16,60.8,90.16
2:13:17,1,0.00,115.1,0,0,0,88.61,87.63,-999.00,-999.00,-999.00,0,88.61,87.63,-1.#IND0,90.16,60.8,90.16
2:14:07,1,0.00,115.1,0,0,0,88.63,87.65,-999.00,-999.00,-999.00,0,88.63,87.65,-1.#IND0,90.16,60.8,90.16
