0:00:00,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREZ,CAB,AMB,FREZDOOR,CABDOOR,DEFREC,TC1,TC2,TC3,TC4,ROOMTEMP,HUMIDITY
0:00:00,State,Pwr Fac,Voltage V,Amps A (Y * 10.0),Wattage W (Y * 0.1),Kwatt Hours,Freezer,Fresh Food,Ambient,Frez Door,Cab Door,Def/Rec Time,FA1,CA1,Chute side,Chute back,RoomTemp,Humidity
0:00:00,2,0.98,115.0,9.990,11.20,0.0000,0.09,40.22,-999.00,-999.00,-999.00,0,0.09,40.22,35.11,31.57,90.00,29.2,45.22
0:00:31,2,0.98,115.0,9.970,11.19,0.0010,0.02,40.16,-999.00,-999.00,-999.00,0,0.02,40.16,35.46,32.09,90.00,29.2,45.22
0:01:01,2,0.98,115.0,9.970,11.18,0.0019,-0.05,40.12,-999.00,-999.00,-999.00,0,-0.05,40.12,35.80,32.31,90.00,29.2,45.22
0:01:31,2,0.98,115.0,9.970,11.19,0.0029,-0.11,40.02,-999.00,-999.00,-999.00,0,-0.11,40.02,35.96,32.64,90.00,29.2,45.22
0:02:02,2,0.97,115.0,9.960,11.17,0.0038,-0.19,39.99,-999.00,-999.00,-999.00,0,-0.19,39.99,36.20,33.02,90.00,29.2,45.22
0:02:32,2,0.98,115.1,9.950,11.17,0.0048,-0.28,39.88,-999.00,-999.00,-999.00,0,-0.28,39.88,36.43,33.30,90.00,29.2,45.22
0:03:02,2,0.98,115.0,9.950,11.16,0.0058,-0.33,39.84,-999.00,-999.00,-999.00,0,-0.33,39.84,36.67,33.60,90.00,29.2,45.22
0:03:33,2,0.98,115.0,9.950,11.16,0.0066,-0.42,39.79,-999.00,-999.00,-999.00,0,-0.42,39.79,36.89,33.91,90.00,29.2,45.22
0:04:03,2,0.98,115.0,9.950,11.16,0.0076,-0.49,39.71,-999.00,-999.00,-999.00,0,-0.49,39.71,37.02,34.12,90.00,29.2,45.22
0:04:34,2,0.98,115.0,9.940,11.15,0.0085,-0.59,39.58,-999.00,-999.00,-999.00,0,-0.59,39.58,37.16,34.37,90.00,29.2,45.22
0:05:04,2,0.98,115.0,9.930,11.14,0.0095,-0.71,39.52,-999.00,-999.00,-999.00,0,-0.71,39.52,37.27,34.60,90.00,29.2,45.22
0:05:34,2,0.98,115.0,9.920,11.13,0.0104,-0.75,39.41,-999.00,-999.00,-999.00,0,-0.75,39.41,37.47,34.86,90.00,29.2,45.22
0:06:05,2,0.98,115.0,9.920,11.13,0.0114,-0.85,39.39,-999.00,-999.00,-999.00,0,-0.85,39.39,37.61,35.14,90.00,29.3,45.22
0:06:35,2,0.98,115.0,9.920,11.12,0.0123,-0.91,39.28,-999.00,-999.00,-999.00,0,-0.91,39.28,37.74,35.23,90.00,29.3,45.22
0:06:48,1,0.16,115.1,1.540,0.29,0.0127,-0.94,39.25,-999.00,-999.00,-999.00,0,-0.94,39.25,37.80,35.36,90.00,29.3,45.22
0:06:54,1,0.16,115.1,1.540,0.29,0.0127,-0.94,39.25,-999.00,-999.00,-999.00,0,-0.94,39.25,37.80,35.36,90.00,29.3,45.22
0:06:54,1,0.16,115.1,1.540,0.29,0.0127,-0.94,39.25,-999.00,-999.00,-999.00,0,-0.94,39.25,37.80,35.36,90.00,29.3,45.22
0:07:24,1,0.16,114.9,1.540,0.28,0.0128,-1.05,39.15,-999.00,-999.00,-999.00,0,-1.05,39.15,37.92,35.54,90.00,29.3,45.22
0:07:55,1,0.16,114.8,1.540,0.29,0.0128,-1.09,39.11,-999.00,-999.00,-999.00,0,-1.09,39.11,38.05,35.69,90.00,29.3,45.22
0:08:25,1,0.16,114.8,1.540,0.28,0.0128,-1.11,39.03,-999.00,-999.00,-999.00,0,-1.11,39.03,38.17,35.83,90.00,29.3,45.22
0:08:55,1,0.16,114.8,1.540,0.28,0.0128,-1.13,38.92,-999.00,-999.00,-999.00,0,-1.13,38.92,38.21,36.04,90.00,29.3,45.22
0:09:26,1,0.16,114.8,1.540,0.28,0.0129,-1.11,38.86,-999.00,-999.00,-999.00,0,-1.11,38.86,38.36,36.09,90.00,29.3,45.22
0:09:56,1,0.16,114.8,1.540,0.28,0.0129,-1.08,38.82,-999.00,-999.00,-999.00,0,-1.08,38.82,38.46,36.32,90.00,29.3,45.22
0:10:26,1,0.17,114.7,1.540,0.29,0.0129,-0.97,38.75,-999.00,-999.00,-999.00,0,-0.97,38.75,38.55,36.47,90.00,29.3,45.22
0:10:57,1,0.16,114.7,1.540,0.29,0.0129,-0.94,38.66,-999.00,-999.00,-999.00,0,-0.94,38.66,38.63,36.55,90.00,29.3,45.22
0:11:27,1,0.17,114.7,1.540,0.29,0.0130,-0.87,38.60,-999.00,-999.00,-999.00,0,-0.87,38.60,38.75,36.63,90.00,29.3,45.22
0:11:58,1,0.16,114.7,1.540,0.29,0.0130,-0.76,38.55,-999.00,-999.00,-999.00,0,-0.76,38.55,38.85,36.72,90.00,29.2,45.22
0:12:28,1,0.16,115.1,1.540,0.29,0.0130,-0.64,38.50,-999.00,-999.00,-999.00,0,-0.64,38.50,38.93,36.85,90.20,29.2,45.22
0:12:58,1,0.16,115.1,1.540,0.29,0.0130,-0.52,38.43,-999.00,-999.00,-999.00,0,-0.52,38.43,38.98,36.98,90.20,29.1,45.22
0:13:29,1,0.16,115.1,1.540,0.29,0.0131,-0.41,38.38,-999.00,-999.00,-999.00,0,-0.41,38.38,39.06,37.12,90.20,29.1,45.22
0:13:59,1,0.17,115.2,1.540,0.29,0.0131,-0.29,38.30,-999.00,-999.00,-999.00,0,-0.29,38.30,39.11,37.13,90.20,29.1,45.22
0:14:29,1,0.17,115.2,1.540,0.29,0.0131,-0.12,38.28,-999.00,-999.00,-999.00,0,-0.12,38.28,39.19,37.22,90.20,29.0,45.22
0:15:00,1,0.16,115.1,1.540,0.29,0.0131,0,38.18,-999.00,-999.00,-999.00,0,0.00,38.18,39.22,37.28,90.20,29.0,45.22
0:15:30,1,0.16,115.2,1.540,0.29,0.0132,0.16,38.10,-999.00,-999.00,-999.00,0,0.16,38.10,39.26,37.32,90.20,29.0,45.22
0:16:00,1,0.16,115.2,1.540,0.29,0.0132,0.35,38.06,-999.00,-999.00,-999.00,0,0.35,38.06,39.35,37.46,90.20,29.0,45.22
0:16:31,1,0.16,115.2,1.550,0.29,0.0132,0.52,37.99,-999.00,-999.00,-999.00,0,0.52,37.99,39.41,37.60,90.20,29.1,45.22
0:17:01,1,0.16,115.2,1.540,0.29,0.0132,0.71,37.95,-999.00,-999.00,-999.00,0,0.71,37.95,39.46,37.63,90.20,29.1,45.22
0:17:31,1,0.16,115.2,1.540,0.29,0.0133,0.90,37.89,-999.00,-999.00,-999.00,0,0.90,37.89,39.49,37.70,90.20,29.1,45.22
0:18:02,1,0.16,115.2,1.540,0.29,0.0133,1.12,37.84,-999.00,-999.00,-999.00,0,1.12,37.84,39.54,37.74,90.20,29.1,45.22
0:18:32,1,0.16,115.2,1.550,0.29,0.0133,1.32,37.81,-999.00,-999.00,-999.00,0,1.32,37.81,39.57,37.79,90.20,29.1,45.22
0:19:03,1,0.16,115.2,1.550,0.29,0.0133,1.53,37.72,-999.00,-999.00,-999.00,0,1.53,37.72,39.59,37.85,90.20,29.1,45.22
0:19:33,1,0.16,115.2,1.540,0.28,0.0134,1.72,37.66,-999.00,-999.00,-999.00,0,1.72,37.66,39.66,37.92,90.20,29.2,45.22
0:20:04,1,0.16,115.2,1.550,0.29,0.0134,1.97,37.63,-999.00,-999.00,-999.00,0,1.97,37.63,39.70,38.01,90.20,29.2,45.22
0:20:34,1,0.16,115.2,1.550,0.29,0.0134,2.17,37.56,-999.00,-999.00,-999.00,0,2.17,37.56,39.73,38.07,90.20,29.2,45.22
0:21:04,1,0.98,115.0,13.320,0.29,0.0138,2.38,37.52,-999.00,-999.00,-999.00,0,2.38,37.52,39.76,38.07,90.20,29.2,45.22
0:20:59,4,0.99,114.9,13.890,15.72,0.0138,2.38,37.50,-999.00,-999.00,-999.00,0,2.38,37.50,39.74,38.07,90.20,29.2,45.22
0:21:06,4,0.99,114.9,13.890,15.72,0.0138,2.38,37.50,-999.00,-999.00,-999.00,0,2.38,37.50,39.74,38.07,90.20,29.2,45.22
0:21:06,4,0.99,114.9,13.890,15.72,0.0138,2.38,37.50,-999.00,-999.00,-999.00,0,2.38,37.50,39.74,38.07,90.20,29.2,45.22
0:21:37,4,0.98,115.1,13.120,15.08,0.0152,2.64,37.49,-999.00,-999.00,-999.00,0,2.64,37.49,39.84,38.18,90.20,29.2,45.22
0:21:35,2,0.98,115.1,12.790,14.48,0.0153,2.66,37.47,-999.00,-999.00,-999.00,0,2.66,37.47,39.82,38.16,90.20,29.2,45.22
0:21:41,2,0.98,115.1,12.790,14.48,0.0153,2.66,37.47,-999.00,-999.00,-999.00,0,2.66,37.47,39.82,38.16,90.20,29.2,45.22
0:21:41,2,0.98,115.1,12.790,14.48,0.0153,2.66,37.47,-999.00,-999.00,-999.00,0,2.66,37.47,39.82,38.16,90.20,29.2,45.22
0:22:12,2,0.98,115.2,11.420,13.13,0.0165,2.86,37.40,-999.00,-999.00,-999.00,0,2.86,37.40,39.87,38.16,90.20,29.2,45.22
0:22:42,2,0.98,115.2,11.240,12.68,0.0176,2.99,37.35,-999.00,-999.00,-999.00,0,2.99,37.35,39.92,38.26,90.20,29.2,45.22
0:23:12,2,0.98,115.2,11.020,12.42,0.0187,3.13,37.29,-999.00,-999.00,-999.00,0,3.13,37.29,39.88,38.26,90.20,29.2,45.22
0:23:42,2,0.98,115.2,10.930,12.32,0.0197,3.22,37.26,-999.00,-999.00,-999.00,0,3.22,37.26,39.89,38.26,90.20,29.2,45.22
0:24:13,2,0.98,115.2,10.880,12.26,0.0208,3.33,37.20,-999.00,-999.00,-999.00,0,3.33,37.20,39.87,38.34,90.20,29.2,45.22
0:24:44,2,0.98,115.2,10.900,12.28,0.0217,3.35,37.10,-999.00,-999.00,-999.00,0,3.35,37.10,39.88,38.34,90.20,29.2,45.22
0:25:14,2,0.98,115.2,10.810,12.18,0.0228,3.41,37.04,-999.00,-999.00,-999.00,0,3.41,37.04,39.89,38.40,90.20,29.2,45.22
0:25:44,2,0.98,115.3,10.740,12.11,0.0238,3.46,36.97,-999.00,-999.00,-999.00,0,3.46,36.97,39.90,38.40,90.20,29.2,45.22
0:26:15,2,0.98,115.2,10.730,12.08,0.0248,3.47,36.91,-999.00,-999.00,-999.00,0,3.47,36.91,39.84,38.41,90.20,29.2,45.22
0:26:45,2,0.98,115.2,10.740,12.11,0.0259,3.52,36.82,-999.00,-999.00,-999.00,0,3.52,36.82,39.81,38.43,90.20,29.2,45.22
0:27:15,2,0.98,115.2,10.670,12.02,0.0269,3.52,36.74,-999.00,-999.00,-999.00,0,3.52,36.74,39.81,38.41,90.20,29.2,45.22
0:27:46,2,0.98,115.2,10.610,11.94,0.0280,3.47,36.69,-999.00,-999.00,-999.00,0,3.47,36.69,39.78,38.41,90.20,29.2,45.22
0:28:16,2,0.98,115.2,10.580,11.91,0.0289,3.51,36.66,-999.00,-999.00,-999.00,0,3.51,36.66,39.60,38.38,90.20,29.2,45.22
0:28:46,2,0.98,115.2,10.450,11.76,0.0300,3.45,36.60,-999.00,-999.00,-999.00,0,3.45,36.60,36.32,37.06,90.20,29.2,45.22
0:29:16,2,0.98,115.2,10.330,11.62,0.0309,3.41,36.60,-999.00,-999.00,-999.00,0,3.41,36.60,34.22,35.84,90.20,29.2,45.22
0:29:46,2,0.98,115.2,10.270,11.55,0.0319,3.35,36.58,-999.00,-999.00,-999.00,0,3.35,36.58,32.70,34.89,90.20,29.2,45.22
0:30:17,2,0.98,115.2,10.210,11.48,0.0328,3.26,36.55,-999.00,-999.00,-999.00,0,3.26,36.55,31.38,33.96,90.20,29.2,45.22
0:30:47,2,0.98,115.2,10.140,11.40,0.0338,3.16,36.53,-999.00,-999.00,-999.00,0,3.16,36.53,30.22,33.05,90.20,29.2,45.22
0:31:18,2,0.98,115.2,10.090,11.34,0.0347,3.12,36.52,-999.00,-999.00,-999.00,0,3.12,36.52,29.13,32.18,90.20,29.2,45.22
0:31:48,2,0.98,115.2,10.040,11.28,0.0358,2.97,36.52,-999.00,-999.00,-999.00,0,2.97,36.52,28.01,31.26,90.20,29.2,45.22
0:32:18,2,0.98,115.2,10.010,11.25,0.0366,2.88,36.52,-999.00,-999.00,-999.00,0,2.88,36.52,27.04,30.46,90.20,29.2,45.22
0:32:48,2,0.98,115.2,9.970,11.21,0.0376,2.77,36.50,-999.00,-999.00,-999.00,0,2.77,36.50,26.09,29.61,90.20,29.2,45.22
0:33:19,2,0.98,115.2,9.920,11.15,0.0385,2.65,36.46,-999.00,-999.00,-999.00,0,2.65,36.46,25.20,28.75,90.20,29.2,45.22
0:33:49,2,0.97,115.3,9.880,11.11,0.0395,2.55,36.46,-999.00,-999.00,-999.00,0,2.55,36.46,24.36,27.92,90.20,29.2,45.22
0:34:19,2,0.98,115.3,9.860,11.08,0.0404,2.44,36.46,-999.00,-999.00,-999.00,0,2.44,36.46,23.55,27.13,90.20,29.2,45.22
0:34:49,2,0.98,115.3,9.820,11.04,0.0414,2.31,36.45,-999.00,-999.00,-999.00,0,2.31,36.45,22.75,26.31,90.20,29.2,45.22
0:35:20,2,0.97,115.3,9.810,10.99,0.0423,2.13,36.46,-999.00,-999.00,-999.00,0,2.13,36.46,21.94,25.46,90.20,29.2,45.22
0:35:50,2,0.97,114.9,9.780,10.96,0.0432,2.01,36.45,-999.00,-999.00,-999.00,0,2.01,36.45,21.21,24.71,90.20,29.2,45.22
0:36:20,2,0.97,114.9,9.750,10.92,0.0441,1.88,36.46,-999.00,-999.00,-999.00,0,1.88,36.46,20.49,23.98,90.20,29.2,45.22
0:36:51,2,0.97,114.9,9.720,10.89,0.0451,1.76,36.46,-999.00,-999.00,-999.00,0,1.76,36.46,19.79,23.26,90.20,29.2,45.22
0:37:21,2,0.97,114.9,9.690,10.85,0.0459,1.61,36.46,-999.00,-999.00,-999.00,0,1.61,36.46,19.18,22.60,90.20,29.2,45.22
0:37:52,2,0.97,114.9,9.660,10.82,0.0469,1.44,36.46,-999.00,-999.00,-999.00,0,1.44,36.46,18.51,21.88,90.20,29.2,45.22
0:38:22,2,0.97,114.9,9.630,10.77,0.0479,1.30,36.46,-999.00,-999.00,-999.00,0,1.30,36.46,17.89,21.17,90.20,29.3,45.22
0:38:52,2,0.97,114.9,9.600,10.74,0.0487,1.16,36.46,-999.00,-999.00,-999.00,0,1.16,36.46,17.28,20.50,90.20,29.3,45.22
0:39:23,2,0.97,114.9,9.580,10.72,0.0497,0.96,36.44,-999.00,-999.00,-999.00,0,0.96,36.44,16.70,19.83,90.20,29.3,45.22
0:39:53,2,0.97,114.9,9.540,10.68,0.0505,0.82,36.46,-999.00,-999.00,-999.00,0,0.82,36.46,16.14,19.17,90.20,29.4,45.22
0:40:23,2,0.97,114.9,9.530,10.66,0.0515,0.63,36.43,-999.00,-999.00,-999.00,0,0.63,36.43,15.58,18.54,90.20,29.4,45.22
0:40:53,2,0.97,114.9,9.500,10.63,0.0523,0.47,36.44,-999.00,-999.00,-999.00,0,0.47,36.44,15.03,17.97,90.20,29.4,45.22
0:41:23,2,0.97,114.9,9.490,10.62,0.0533,0.30,36.43,-999.00,-999.00,-999.00,0,0.30,36.43,14.52,17.34,90.00,29.4,45.22
0:41:54,2,0.97,114.9,9.450,10.57,0.0541,0.11,36.45,-999.00,-999.00,-999.00,0,0.11,36.45,14.00,16.78,90.00,29.4,45.22
0:42:15,1,0.14,115.0,0.620,0.10,0.0548,-0.02,36.46,-999.00,-999.00,-999.00,0,-0.02,36.46,13.61,16.31,90.00,29.4,45.22
0:42:21,1,0.14,115.0,0.620,0.10,0.0548,-0.02,36.46,-999.00,-999.00,-999.00,0,-0.02,36.46,13.61,16.31,90.00,29.4,45.22
0:42:21,1,0.14,115.0,0.620,0.10,0.0548,-0.02,36.46,-999.00,-999.00,-999.00,0,-0.02,36.46,13.61,16.31,90.00,29.4,45.22
0:42:52,1,0.14,115.1,0.620,0.10,0.0548,-0.12,36.46,-999.00,-999.00,-999.00,0,-0.12,36.46,14.66,16.65,90.00,29.5,45.22
0:43:22,1,0.14,115.1,0.620,0.10,0.0548,-0.22,36.46,-999.00,-999.00,-999.00,0,-0.22,36.46,15.75,17.07,90.00,29.5,45.22
0:43:52,1,0.15,115.2,0.620,0.10,0.0548,-0.30,36.49,-999.00,-999.00,-999.00,0,-0.30,36.49,16.52,17.29,89.80,29.5,45.22
0:44:23,1,0.14,115.2,0.620,0.10,0.0548,-0.37,36.52,-999.00,-999.00,-999.00,0,-0.37,36.52,16.96,17.47,89.80,29.5,45.22
0:44:53,1,0.14,115.2,0.620,0.10,0.0548,-0.43,36.54,-999.00,-999.00,-999.00,0,-0.43,36.54,17.32,17.58,89.80,29.6,45.22
0:45:23,1,0.14,115.1,0.620,0.10,0.0548,-0.49,36.54,-999.00,-999.00,-999.00,0,-0.49,36.54,17.58,17.66,89.80,29.6,45.22
0:45:53,1,0.14,115.1,0.620,0.10,0.0548,-0.52,36.57,-999.00,-999.00,-999.00,0,-0.52,36.57,17.87,17.78,89.80,29.6,45.22
0:46:23,1,0.14,115.1,0.620,0.10,0.0548,-0.61,36.58,-999.00,-999.00,-999.00,0,-0.61,36.58,18.13,17.84,89.80,29.6,45.22
0:46:54,1,0.14,115.1,0.620,0.10,0.0548,-0.65,36.59,-999.00,-999.00,-999.00,0,-0.65,36.59,18.45,17.94,89.80,29.6,45.22
0:47:24,1,0.15,115.1,0.620,0.10,0.0549,-0.70,36.61,-999.00,-999.00,-999.00,0,-0.70,36.61,18.70,18.02,89.80,29.6,45.22
0:47:54,1,0.15,115.1,0.620,0.10,0.0549,-0.75,36.60,-999.00,-999.00,-999.00,0,-0.75,36.60,18.95,18.11,89.80,29.6,45.22
0:48:25,1,0.14,115.1,0.620,0.10,0.0549,-0.75,36.66,-999.00,-999.00,-999.00,0,-0.75,36.66,19.25,18.25,89.80,29.6,45.22
0:48:55,1,0.14,115.1,0.620,0.10,0.0549,-0.74,36.68,-999.00,-999.00,-999.00,0,-0.74,36.68,19.57,18.40,89.80,29.6,45.22
0:49:26,1,0.14,115.1,0.620,0.10,0.0549,-0.79,36.68,-999.00,-999.00,-999.00,0,-0.79,36.68,19.78,18.48,89.80,29.6,45.22
0:49:56,1,0.14,115.1,0.620,0.10,0.0549,-0.81,36.68,-999.00,-999.00,-999.00,0,-0.81,36.68,20.04,18.63,89.80,29.6,45.22
0:50:26,1,0.14,115.1,0.620,0.10,0.0549,-0.80,36.74,-999.00,-999.00,-999.00,0,-0.80,36.74,20.25,18.78,89.80,29.6,45.22
0:50:57,1,0.14,115.1,0.620,0.10,0.0549,-0.80,36.78,-999.00,-999.00,-999.00,0,-0.80,36.78,20.50,18.95,89.80,29.6,45.22
0:51:27,1,0.15,115.2,0.620,0.10,0.0549,-0.80,36.82,-999.00,-999.00,-999.00,0,-0.80,36.82,20.79,19.15,90.00,29.6,45.22
0:51:57,1,0.14,115.2,0.620,0.10,0.0549,-0.79,36.83,-999.00,-999.00,-999.00,0,-0.79,36.83,21.09,19.31,90.00,29.6,45.22
0:52:28,1,0.14,115.2,0.620,0.10,0.0549,-0.75,36.88,-999.00,-999.00,-999.00,0,-0.75,36.88,21.47,19.51,90.00,29.6,45.22
0:52:58,1,0.14,115.2,0.620,0.10,0.0549,-0.75,36.92,-999.00,-999.00,-999.00,0,-0.75,36.92,21.80,19.66,90.00,29.6,45.22
0:53:28,1,0.14,115.1,0.620,0.10,0.0550,-0.75,36.92,-999.00,-999.00,-999.00,0,-0.75,36.92,22.11,19.87,90.00,29.5,45.22
0:53:59,1,0.14,115.2,0.620,0.10,0.0550,-0.73,36.95,-999.00,-999.00,-999.00,0,-0.73,36.95,22.42,20.04,90.00,29.5,45.22
0:54:29,1,0.14,115.2,0.620,0.10,0.0550,-0.75,36.96,-999.00,-999.00,-999.00,0,-0.75,36.96,22.73,20.21,90.00,29.5,45.22
0:54:59,1,0.15,115.1,0.620,0.10,0.0550,-0.72,37.00,-999.00,-999.00,-999.00,0,-0.72,37.00,23.05,20.42,90.00,29.5,45.22
0:55:30,1,0.14,115.1,0.620,0.10,0.0550,-0.67,37.02,-999.00,-999.00,-999.00,0,-0.67,37.02,23.35,20.64,90.00,29.5,45.22
0:56:00,1,0.14,115.1,0.620,0.10,0.0550,-0.64,37.07,-999.00,-999.00,-999.00,0,-0.64,37.07,23.63,20.87,90.00,29.5,45.22
0:56:31,1,0.15,115.1,0.620,0.11,0.0550,-0.61,37.12,-999.00,-999.00,-999.00,0,-0.61,37.12,23.92,21.11,90.00,29.5,45.22
0:57:01,1,0.15,115.1,0.620,0.11,0.0550,-0.56,37.15,-999.00,-999.00,-999.00,0,-0.56,37.15,24.23,21.31,90.00,29.5,45.22
0:57:32,1,0.15,115.1,0.620,0.10,0.0550,-0.50,37.19,-999.00,-999.00,-999.00,0,-0.50,37.19,24.57,21.60,90.00,29.5,45.22
0:58:02,1,0.15,115.1,0.620,0.10,0.0550,-0.48,37.26,-999.00,-999.00,-999.00,0,-0.48,37.26,24.90,21.82,90.00,29.5,45.22
0:58:33,1,0.14,115.1,0.620,0.10,0.0550,-0.42,37.26,-999.00,-999.00,-999.00,0,-0.42,37.26,25.18,22.07,90.00,29.5,45.22
0:59:04,1,0.14,115.2,0.620,0.10,0.0551,-0.37,37.30,-999.00,-999.00,-999.00,0,-0.37,37.30,25.51,22.29,90.00,29.5,45.22
0:59:34,1,0.14,115.2,0.620,0.10,0.0551,-0.31,37.34,-999.00,-999.00,-999.00,0,-0.31,37.34,25.83,22.57,90.00,29.5,45.22
1:00:04,1,0.15,115.2,0.620,0.11,0.0551,-0.27,37.40,-999.00,-999.00,-999.00,0,-0.27,37.40,26.12,22.81,90.00,29.5,45.22
1:00:35,1,0.14,115.2,0.620,0.10,0.0551,-0.18,37.42,-999.00,-999.00,-999.00,0,-0.18,37.42,26.43,23.07,90.00,29.5,45.22
1:01:05,1,0.14,115.2,0.620,0.10,0.0551,-0.17,37.43,-999.00,-999.00,-999.00,0,-0.17,37.43,26.71,23.28,90.00,29.5,45.22
1:01:35,1,0.15,115.1,0.620,0.10,0.0551,-0.12,37.48,-999.00,-999.00,-999.00,0,-0.12,37.48,26.98,23.52,90.00,29.5,45.22
1:02:06,1,0.14,115.1,0.620,0.10,0.0551,-0.08,37.54,-999.00,-999.00,-999.00,0,-0.08,37.54,27.28,23.76,90.00,29.5,45.22
1:02:36,1,0.14,115.1,0.620,0.10,0.0551,0.02,37.56,-999.00,-999.00,-999.00,0,0.02,37.56,27.59,24.00,90.00,29.5,45.22
1:03:06,1,0.15,115.1,0.620,0.10,0.0551,0.09,37.65,-999.00,-999.00,-999.00,0,0.09,37.65,27.90,24.33,90.00,29.5,45.22
1:03:37,1,0.14,115.1,0.620,0.10,0.0551,0.15,37.66,-999.00,-999.00,-999.00,0,0.15,37.66,28.18,24.52,90.00,29.5,45.22
1:04:07,1,0.14,115.1,0.620,0.10,0.0551,0.21,37.70,-999.00,-999.00,-999.00,0,0.21,37.70,28.49,24.79,90.00,29.5,45.22
1:04:37,1,0.14,115.1,0.620,0.10,0.0551,0.29,37.70,-999.00,-999.00,-999.00,0,0.29,37.70,28.76,25.02,90.00,29.5,45.22
1:05:08,1,0.14,115.1,0.620,0.10,0.0552,0.35,37.78,-999.00,-999.00,-999.00,0,0.35,37.78,29.05,25.30,90.00,29.5,45.22
1:05:38,1,0.14,115.1,0.620,0.10,0.0552,0.40,37.81,-999.00,-999.00,-999.00,0,0.40,37.81,29.28,25.53,90.00,29.5,45.22
1:06:08,1,0.14,115.1,0.620,0.10,0.0552,0.51,37.84,-999.00,-999.00,-999.00,0,0.51,37.84,29.60,25.79,90.00,29.5,45.22
1:06:39,1,0.97,115.0,10.950,0.10,0.0555,0.59,37.89,-999.00,-999.00,-999.00,0,0.59,37.89,29.87,26.04,90.00,29.5,45.22
1:06:32,2,0.98,114.8,11.900,13.33,0.0556,0.60,37.89,-999.00,-999.00,-999.00,0,0.60,37.89,29.89,26.10,90.00,29.5,45.22
1:06:44,2,0.98,114.8,11.900,13.33,0.0556,0.60,37.89,-999.00,-999.00,-999.00,0,0.60,37.89,29.89,26.10,90.00,29.5,45.22
1:06:44,2,0.98,114.8,11.900,13.33,0.0556,0.60,37.89,-999.00,-999.00,-999.00,0,0.60,37.89,29.89,26.10,90.00,29.5,45.22
1:07:15,2,0.97,115.0,11.360,12.72,0.0568,0.69,37.95,-999.00,-999.00,-999.00,0,0.69,37.95,30.18,26.29,90.00,29.5,45.22
1:07:46,2,0.98,115.1,10.380,11.68,0.0579,0.74,37.97,-999.00,-999.00,-999.00,0,0.74,37.97,29.99,26.43,90.00,29.5,45.22
1:08:16,2,0.97,115.2,9.680,10.87,0.0588,0.84,38.03,-999.00,-999.00,-999.00,0,0.84,38.03,26.31,25.17,90.20,29.5,45.22
1:08:46,2,0.97,115.2,9.610,10.78,0.0598,0.90,38.08,-999.00,-999.00,-999.00,0,0.90,38.08,24.28,24.11,90.20,29.4,45.22
1:09:17,2,0.97,115.2,9.540,10.70,0.0606,0.88,38.10,-999.00,-999.00,-999.00,0,0.88,38.10,22.90,23.33,90.20,29.4,45.22
1:09:47,2,0.97,115.2,9.580,10.74,0.0616,0.90,38.14,-999.00,-999.00,-999.00,0,0.90,38.14,21.87,22.70,90.20,29.4,45.22
1:10:17,2,0.97,115.2,9.590,10.76,0.0624,0.83,38.12,-999.00,-999.00,-999.00,0,0.83,38.12,20.85,21.98,90.20,29.4,45.22
1:10:48,2,0.97,115.2,9.580,10.74,0.0634,0.83,38.21,-999.00,-999.00,-999.00,0,0.83,38.21,19.97,21.35,90.20,29.4,45.22
1:11:18,2,0.97,115.2,9.590,10.76,0.0642,0.76,38.24,-999.00,-999.00,-999.00,0,0.76,38.24,19.12,20.71,90.20,29.4,45.22
1:11:48,2,0.97,115.2,9.610,10.78,0.0652,0.72,38.28,-999.00,-999.00,-999.00,0,0.72,38.28,18.33,20.14,90.40,29.4,45.22
1:12:19,2,0.97,115.2,9.590,10.76,0.0660,0.66,38.30,-999.00,-999.00,-999.00,0,0.66,38.30,17.63,19.54,90.40,29.3,45.22
1:12:49,2,0.97,115.2,9.570,10.73,0.0670,0.60,38.34,-999.00,-999.00,-999.00,0,0.60,38.34,16.93,18.98,90.40,29.3,45.22
1:13:19,2,0.97,115.2,9.560,10.72,0.0678,0.52,38.37,-999.00,-999.00,-999.00,0,0.52,38.37,16.27,18.35,90.40,29.3,45.22
1:13:50,2,0.97,115.2,9.550,10.71,0.0688,0.43,38.42,-999.00,-999.00,-999.00,0,0.43,38.42,15.58,17.75,90.40,29.3,45.22
1:14:20,2,0.97,115.2,9.510,10.67,0.0697,0.33,38.45,-999.00,-999.00,-999.00,0,0.33,38.45,14.99,17.18,90.40,29.3,45.22
1:14:51,2,0.97,115.3,9.480,10.63,0.0706,0.22,38.44,-999.00,-999.00,-999.00,0,0.22,38.44,14.40,16.63,90.40,29.3,45.22
1:15:21,2,0.97,115.0,9.490,10.62,0.0715,0.12,38.51,-999.00,-999.00,-999.00,0,0.12,38.51,13.86,16.10,90.40,29.3,45.22
1:15:52,2,0.97,114.9,9.500,10.63,0.0724,-0.03,38.52,-999.00,-999.00,-999.00,0,-0.03,38.52,13.32,15.54,90.40,29.3,45.22
1:16:22,2,0.97,114.9,9.420,10.53,0.0733,-0.11,38.56,-999.00,-999.00,-999.00,0,-0.11,38.56,12.83,15.01,90.40,29.2,45.22
1:16:53,2,0.97,114.9,9.410,10.52,0.0742,-0.23,38.58,-999.00,-999.00,-999.00,0,-0.23,38.58,12.32,14.49,90.40,29.2,45.22
